Id,Start,End,Values
4ca246,1,5,8.590809215198863;41.16060418597722 8.57333096590909;41.13053144034693 8.503230701793324;41.00847147278866 8.47564003684304;40.96061577231197 8.423583984375;40.869964599609375 
3c6592,1,5,8.8494873046875;50.55982686705508 8.909095557960304;50.66112453654661 9.002776274809966;50.819000244140625 9.042434692382812;50.88573908401747 9.105911254882812;50.992110947431144 
4010dc,1,6,3.485918546977796;49.052977481130824 3.37533248098273;49.13141800185381 3.239628718449519;49.22712707519531 3.104271521935096;49.32215881347656 2.9677875225360575;49.41741943359375 2.833677593030427;49.510528564453125 
3c66a5,4,5,8.594272011204769;50.04689025878906 8.652094790810033;50.05938720703125 
394a65,1,5,-2.8972625732421875;52.55744934082031 -2.93731689453125;52.151824951171875 -2.93792724609375;52.149261474609375 -2.9391566685267776;52.14427883342161 -2.9395490373883604;52.142835714049255 
406a92,1,6,3.6693631685697112;48.46046447753906 3.579007662259615;48.57037353515625 3.4823769017269735;48.687030339645126 3.382704885382401;48.80680924755031 3.2818764134457235;48.9276123046875 3.1845173082853617;49.04320151118909 
424123,1,3,8.449753981370192;47.545290154925844 8.48827655498798;47.51712605104608 8.527725219726562;47.48826599121094 
406909,1,6,9.079856872558594;46.245365466101696 9.018234625095275;46.355987548828125 8.952651605373477;46.47093200683594 8.887939453125;46.583587646484375 8.75590254620808;46.666900634765625 8.60236191168064;46.73460388183594 
89639a,1,5,5.473344132706925;50.795562744140625 5.2802276611328125;50.81828489141949 5.071971996410473;50.84454345703125 4.879488558382602;50.878692626953125 4.682105811866554;50.91343688964844 
4b8e01,1,6,8.223489297402871;50.07889569815943 8.129087749280426;50.05540466308594 8.120826514991554;49.99561374470339 8.18191940720017;49.95478743213718 8.25449090254934;49.96018981933594 8.330680228568411;49.978622177899894 
4009c6,1,4,0.33966064453125;51.64160776946504 0.2309417724609375;51.64421469478284 0.117034912109375;51.63904739638506 0.13740333350929054;51.577239990234375 
4ca815,1,6,-3.3782958984375;40.96866930945445 -3.43609619140625;40.979461669921875 -3.51446533203125;40.97145080566406 -3.60479736328125;40.99241638183594 -3.6224295876243104;40.93529135493909 -3.5928414084694396;40.87495965472722 
394c09,1,6,3.707744891826923;48.95429992675781 3.8558397795024666;48.93925036414195 4.024465460526315;48.92188637943591 4.188044621394231;48.904632568359375 4.347768930288461;48.85990905761719 4.508731239720395;48.81756281448623 
ab4489,1,6,8.378950909870428;45.7613525390625 8.325027465820312;45.76341014797404 8.114364624023438;45.771184371689614 7.9440765380859375;45.77723616260593 7.752296447753906;45.78375347590042 7.559211730957031;45.789898371292374 
40095d,2,4,3.0657196044921875;51.900238037109375 3.022918701171875;51.89061568955243 2.8569649361275338;51.85295104980469 
4b1a1a,5,6,9.904518127441406;45.6395811953787 9.835979182545733;45.64031982421875 
3950cf,1,6,8.17249194995777;49.90553516452595 8.002311304995887;49.88969421386719 7.8144595497532885;49.8717041015625 7.624140559016047;49.85339665817002 7.437671862150493;49.8350830078125 7.250085779138513;49.816247972391416 
4ca2c9,1,6,-2.0574188232421875;51.40838105799788 -1.90185546875;51.371046163268005 -1.7230987548828125;51.32775258209745 -1.5472906989020316;51.284820556640625 -1.3695526123046875;51.24107231528072 -1.1926104571368228;51.19720458984375 
aa9249,4,6,8.526429872255068;49.992075774629235 8.530289933488175;49.94179935778602 8.534075762774494;49.88170041876324 
400cd7,1,6,-1.3281579919763544;51.08184814453125 -1.4176074878589588;50.98658752441406 -1.507725071262655;50.88990783691406 -1.598733438027864;50.79158020019531 -1.6913749076224462;50.69105529785156 -1.782676295230317;50.59172058105469 
3c4961,2,6,8.416583721454327;47.745418225304554 8.343704223632812;47.72822570800781 8.269183819110577;47.70826953952595 8.288017272949219;47.66276550292969 8.337593078613281;47.62705993652344 
4b1618,1,4,9.499300443209133;47.42178706799523 9.744873046875;47.39539194915254 9.797607421875;47.388519287109375 9.983345031738281;47.364166259765625 
750293,1,6,6.339408255912162;50.55666131488347 6.52869972022804;50.52584373344809 6.7278640334670605;50.49307095802436 6.934396844161184;50.458648681640625 7.132502375422297;50.42524434752383 7.340023643092104;50.389892578125 
4b1698,1,5,-4.50451937588781;41.90185546875 -4.591161554509938;41.87397766113281 -4.729231013808089;41.829513291181144 -4.864069029342261;41.78584729210805 -5.017111135083576;41.735989845405186 
4b1696,1,6,6.972092848557692;47.77879617981991 7.1132953350360575;47.740064717955505 7.248847961425781;47.70268249511719 7.382812499999999;47.665488032971396 7.512394831730768;47.629875571040785 7.6372833251953125;47.60060119628906 
3c544c,1,6,7.0668182373046875;46.65954072596663 7.202156066894531;46.73435017213983 7.343605041503906;46.81204585705773 7.484999436598557;46.88927601959745 7.626228332519531;46.965911865234375 7.7690241887019225;47.042944956634 
4b7f5b,1,6,9.350773737980768;47.09056789592161 9.355819702148438;47.084747314453125 9.406974792480469;47.15171813964844 9.317573547363281;47.12677001953125 9.359390258789062;47.08973693847656 9.384933471679688;47.06776428222656 
405f0a,1,6,-3.6013308438388094;41.117264052568856 -3.6070736971768724;41.241418870828916 -3.6104445023970015;41.367901300979874 -3.6133159290660615;41.4927978515625 -3.6166097951489746;41.61825923596398 -3.619867369186011;41.74483477059057 
4ca9d1,4,5,4.0683746337890625;50.95440363479872 4.021812645164696;50.87059020996094 
4b187b,5,6,8.557222806490383;47.4444580078125 8.590415954589844;47.43049621582031 
4690e2,1,6,7.866335782137784;40.51394705045021 8.030131946910512;40.483176021252646 8.194677179509943;40.44914633540784 8.367462158203125;40.41302179886123 8.551607998934658;40.37447654594809 8.699462890625;40.34303283691406 
4b184e,1,1,6.5282905392530495;45.885223388671875 
300092,1,6,6.140955483041159;45.89300537109375 6.261863708496094;45.819598699020126 6.386741079935214;45.743682861328125 6.50830078125;45.669374627582094 6.6408233642578125;45.5953565694518 6.7782295040967995;45.53586280952065 
4008b4,1,5,-0.7271761507601582;51.583465576171875 -0.8284759521484375;51.56447071140095 -0.90484619140625;51.53481693591102 -0.8501042546452703;51.48774719238281 -0.7850770692567568;51.4764404296875 
484cb9,1,5,-0.7584490094865828;53.523193359375 -0.920654296875;53.566131591796875 -1.1038120814731656;53.61094665527344 -1.2910505022321104;53.63653564453125 -1.4725603376115828;53.6612548828125 
4caac8,1,6,-0.7780250343116677;51.83903503417969 -0.6976318359375;51.799373303429554 -0.6161993903082816;51.75897216796875 -0.5375877586570823;51.71974182128906 -0.5483245849609375;51.66804944054555 -0.646514892578125;51.69086003707627 
4249fc,1,6,8.12823486328125;47.7205810546875 8.001568134014422;47.63420492915784 7.8712921142578125;47.5447998046875 7.742966871995192;47.45632882845604 7.616764948918268;47.368950278072035 7.4881439208984375;47.27934265136719 
3c6491,1,6,6.475665752704327;46.891370870299255 6.461952209472656;47.01704406738281 6.447284405048077;47.14866508871822 6.432847243088942;47.27789410090042 6.418281555175781;47.408660888671875 6.40362079326923;47.5381211103019 
4b1a59,1,6,-2.81475830078125;40.529296875 -2.71844482421875;40.63824462890625 -2.62042236328125;40.748748779296875 -2.5234222412109375;40.85852671477754 -2.42376708984375;40.96971130371094 -2.325605912642061;41.079277426509535 
4b0ea6,1,6,8.056686401367188;47.03965759277344 7.99200439453125;47.019012451171875 7.942909240722656;46.99388122558594 7.875154935396634;46.957335391287074 7.802969125600961;46.918603929422666 7.7298431396484375;46.879669189453125 
405b69,1,3,-0.49802213101770576;51.0263671875 -0.5335235595703125;51.0702256024894 -0.4846603805954392;51.10569763183594 
3c49e8,1,5,5.293601431497714;46.12806701660156 5.159523010253906;46.053290932865465 5.016330625952745;45.97434997558594 4.875853003525153;45.89643859863281 4.735241401486281;45.81916809082031 
4006e5,1,5,-0.7000732421875;51.098948333222985 -0.856859361803231;51.06294250488281 -1.0317498284417184;51.027557373046875 -1.2116138355152088;50.992584228515625 -1.4012022276182279;50.95623779296875 
4ca668,1,6,6.10283104149071;50.225721456236755 6.149235775596217;50.315643310546875 6.229175768400493;50.39369201660156 6.306947406969572;50.467437744140625 6.3815720016891895;50.53971630031779 6.448179546155427;50.61570739746094 
4ca2bf,2,5,-3.319605777138179;49.5018310546875 -3.3528343406883447;49.67458951271186 -3.36864574535473;49.757080078125 -3.3912337453742225;49.873809814453125 
47873e,1,4,-2.110107421875;40.46040344238281 -2.20001220703125;40.35823059082031 -2.289588234641335;40.25590799622616 -2.40570068359375;40.12298583984375 
3c4b24,5,5,8.594352103568411;50.0469143107786 
400af7,1,6,10.734728436137356;42.499027575476696 10.85268194025213;42.41789245605469 10.974128190861192;42.33409299688824 11.10366466433503;42.24387475999735 11.243229355922965;42.14676679190943 11.351495787154798;42.0708400920286 
3c4a8c,2,5,10.302356920744243;50.66203308105469 10.271622941300675;50.65158132779396 10.105417612436655;50.59683589612023 9.942849648965371;50.5449767031912 
4ca4e7,4,5,11.920382851048519;50.287994384765625 11.771182498416385;50.27585821636652 
4ba95a,1,5,9.743908031566724;50.08490093683792 9.927448473478618;50.061309814453125 10.12664794921875;50.029541015625 10.318185906661183;49.985595703125 10.51124366554054;49.94082176079184 
47875e,1,6,6.635398864746094;46.79021285752118 6.502464294433594;46.712470620365465 6.364036560058594;46.63133006984904 6.226501464843751;46.5501708984375 6.0779850657393295;46.4674072265625 5.939002990722656;46.39828956733315 
400965,1,5,10.950839394017269;49.98326110839844 10.763132195723683;49.99507141113281 10.57918347810444;50.006378173828125 10.38482666015625;50.017913818359375 10.1942283228824;50.02812194824219 
4b7fad,1,5,9.700364332932692;46.87326204978813 9.750022888183594;46.88301086425781 9.739585876464844;46.87884521484375 9.676342475705031;46.842864990234375 9.530907607660062;46.83929443359375 
392ae8,1,5,8.57757568359375;47.6861572265625 8.738731384277344;47.67210388183594 8.90850360576923;47.65720173463983 9.079307556152344;47.64179992675781 9.2559814453125;47.625640869140625 
405b78,5,5,-0.7086944580078125;52.13946533203125 
40622d,1,6,6.414818396935096;49.1385498046875 6.431121826171874;49.0212754071769 6.447673596833881;48.90266030521716 6.464256873497596;48.78556823730469 6.480849416632401;48.66873531018273 6.4974011872944075;48.55105125297934 
4ca9e2,2,4,11.093572572220204;42.39298157772775 10.827400901100852;42.66307067871094 10.819598111239346;42.67094421386719 
4ca4ee,5,5,0.6700917836782094;50.84184265136719 
4ca808,1,5,-4.228650470112598;41.724677651615465 -4.342845569957376;41.6575927734375 -4.457191644712907;41.590281341035485 -4.5721227472478745;41.52214050292969 -4.683944347292822;41.455698821504235 
405a46,1,5,-1.3081681100945843;50.556243896484375 -1.2786062140214085;50.59785461425781 -1.21856689453125;50.681560968948624 -1.1583709716796875;50.76377222093485 -1.07208251953125;50.832622980667374 
405d0c,1,6,4.691505432128906;45.6421881206965 4.565711975097656;45.58758234573623 4.423697335379464;45.52546691894531 4.284079415457589;45.4639892578125 4.1082838104992385;45.386430126125525 4.0094068573742385;45.342391709149894 
400879,5,6,6.281730033255912;51.13059997558594 6.166893211570946;51.06330871582031 
406b20,1,5,-0.5038122228673956;51.69081115722656 -0.5756378173828125;51.65529412738347 -0.6075142525338038;51.711181640625 -0.5182132205447374;51.70770263671875 -0.5141304634712838;51.63212585449219 
4b188a,1,6,7.9915924072265625;47.31642150878906 7.843604454627403;47.335525771318856 7.6847991943359375;47.35560607910156 7.524860088641827;47.37556069584216 7.356614332932692;47.39622988943326 7.186185396634615;47.413128351761124 
34150e,1,5,-2.9898418079723115;41.09920178429555 -3.0743408203125;41.07719421386719 -3.318120783025568;41.01452326370498 -3.3487077192826704;41.0069818011785 -3.35003662109375;41.00669860839844 
4ca9cf,1,6,-1.47607421875;41.170440673828125 -1.556562943892061;41.081558486162606 -1.64154052734375;40.98710632324219 -1.7194227738813765;40.90019096762447 -1.80126953125;40.80853271484375 -1.88214111328125;40.71794128417969 
392af1,1,6,8.164070530941611;49.93510437011719 8.346046241554054;49.951482223252114 8.533184979413006;49.967961715439614 8.720976177014801;49.98426818847656 8.904129831414473;49.99909973144531 9.08735576428865;49.97886657714844 
4063e6,1,6,-0.6371307373046875;51.389946371822035 -0.7211633630701044;51.406036376953125 -0.8327339790963038;51.42887878417969 -0.958482896959481;51.45817565917969 -1.0964058540963038;51.493743896484375 -1.2503814697265625;51.532489324020126 
344441,3,5,10.045829772949219;45.638836359573624 10.12370039777058;45.73347473144531 10.20684814453125;45.83421610169491 
400afc,5,5,9.8372987259266;43.426300048828125 
4d4020,5,6,7.378888811383928;43.68191993842691 7.368556431361607;43.67540262513241 
3950d1,1,5,5.265549879807692;47.35423977092161 5.14660175030048;47.448927022643005 5.0189666748046875;47.549835205078125 4.88933856670673;47.651755122815146 4.755775451660156;47.75633239746094 
4b187f,1,5,3.5060119628906246;48.313774496822035 3.290332994962993;48.35753360037076 3.116666353665865;48.392486572265625 2.889548853824013;48.437510344941735 2.6365741930509867;48.486529851363876 
8963cc,1,5,0.44702478357263514;51.626678466796875 0.34272889833192566;51.633544921875 0.2142333984375;51.6419677734375 0.08395633182010136;51.6024169921875 0.13703217377533783;51.56336975097656 
485009,1,6,6.91925048828125;52.216827392578125 6.834594726562501;52.236638473252114 6.6783905029296875;52.27162170410156 6.523681640625001;52.30586165088718 6.3518524169921875;52.34330749511719 6.22222900390625;52.37150573730469 
3c4aa4,1,5,7.6991031044407885;50.37162780761719 7.6042737458881575;50.452239990234375 7.5163831208881575;50.55308532714844 7.418369602512669;50.66159005892479 7.3211257522170605;50.76507568359375 
4d0107,1,2,6.094593248869243;49.49519348144531 6.005040218955592;49.49688720703125 
4ca5c8,3,5,-0.10689400337837839;51.22746276855469 -0.135040283203125;51.22426695742849 -0.2532196044921875;51.2460068524894 
a41004,1,3,-2.378911198796459;51.5478515625 -2.583465576171875;51.56689142776747 -2.793121337890625;51.58597784527277 
40624f,1,6,11.01249293277138;50.19172668457031 10.825022104624155;50.17763299457097 10.634542929159629;50.16287593518273 10.4359275416324;50.147186279296875 10.2491599635074;50.132080078125 10.057315310916385;50.14225329382945 
406ae2,1,5,11.404699377111486;49.846087956832626 11.584649336965459;49.81727600097656 11.767322437183276;49.78771145060911 11.95178882495777;49.75754560050318 12.143604175464526;49.725750422073624 
405632,1,5,3.2847675524259867;48.49933171676377 3.1715275691105766;48.610015869140625 3.0607765599300985;48.72185141353284 2.9510578356291117;48.83194745597193 2.852642352764423;48.93003845214844 
4009de,1,5,-1.227360775596253;50.08470153808594 -1.1797683303420854;50.20751953125 -1.130218505859375;50.3345947265625 -1.0867557010134874;50.44893943657309 -1.0935733192845873;50.57830810546875 
4007f9,1,4,0.97869873046875;52.13713073730469 1.147129603794643;52.1981397725768 1.3185947963169644;52.260938741393005 1.50787353515625;52.33012390136719 
3c488f,1,5,10.00481238731971;47.88949740135063 10.105309119591345;47.77348922470868 10.186791053185095;47.67894162970074 10.281486511230469;47.56855773925781 10.3853759765625;47.44679260253906 
4844e7,1,3,10.754840557391827;48.82466125488281 10.899071326622595;48.72184753417969 11.052535207648026;48.618412341101696 
40631d,1,6,-0.7032012939453125;51.49822687698622 -0.6764014991554177;51.623748779296875 -0.64971923828125;51.74662961798199 -0.6219894821579146;51.870941162109375 -0.608978271484375;52.00428771972656 -0.7007598876953125;52.120880126953125 
45ac4c,1,6,4.1312207673725325;50.31092834472656 4.0927686189350325;50.22267150878906 4.031314334353885;50.12069960771981 3.9705183699324325;50.018936415850106 3.911281276393581;49.91973359706038 3.852192646748311;49.82076353945974 
400b84,1,5,7.012504577636719;45.586977166644594 7.119743533250762;45.50262451171875 7.224448599466464;45.41966842392743 7.331085205078125;45.33485412597656 7.4374091915967995;45.24961309917902 
71007e,1,6,9.800695470861486;49.65331514002913 9.66963115491365;49.714141845703125 9.534499709670609;49.77658546577065 9.407910798725329;49.83489990234375 9.265160811574836;49.878021240234375 9.109967205975506;49.90781622417902 
780b7d,4,5,3.8397216796874996;49.11158752441406 3.855496920072115;49.114471435546875 
4ca84d,1,4,0.28470491108141444;50.35038757324219 0.3900146484375;50.26189254502118 0.4958303351151315;50.1727294921875 0.60150146484375;50.08314514160156 
406013,1,5,2.3641566226356905;48.20521467823093 2.3785400390625;48.18882751464844 2.483121431790865;48.06839765128443 2.5623550415039062;47.97706604003906 2.634605994591346;47.89336123708951 
3c4868,1,5,4.6201123689350325;49.83544921875 4.4549560546875;49.79264598781779 4.277244774070946;49.76308531680349 4.095747664168075;49.739157466565146 3.908534694362331;49.714438228283896 
3c5cb4,1,6,10.488083298141891;50.230609441207626 10.350638941714637;50.14105224609375 10.189373944256756;50.0743801310911 9.990209631017736;50.071912862486755 9.788372967694256;50.069212832693324 9.593232807360197;50.052886962890625 
400b82,1,6,9.062543596540179;43.139632920087394 8.910893031529017;43.18422996391684 8.751504587572676;43.23078918457031 8.592354910714285;43.27700857388771 8.430895124162946;43.323653916181144 8.270612444196429;43.36960097490731 
4951d7,1,5,-3.8756145130504365;40.07598359706038 -3.962256691672585;40.05615234375 -4.09063720703125;40.026580810546875 -4.2342307350852275;39.99321371822034 -4.3672526966441865;39.96234958454714 
400b00,2,6,-0.5843353271484375;51.36680990962659 -0.7040900153082771;51.37239074707031 -0.7999420166015625;51.375747939287606 -0.901175834037133;51.39207458496094 -0.9061431884765625;51.44338834083686 
a13748,1,6,8.593766061883223;50.047119140625 8.601933529502466;50.04899597167969 8.679644610430744;50.066186937235166 8.74381617495888;50.11720275878906 8.785737690172697;50.18376159667969 8.786984005489865;50.25397866459216 
4b161b,4,5,8.572786771334133;47.45642193293167 8.600440979003906;47.45466613769531 
3444c6,3,5,9.983590262276786;52.75015620862023 9.912493024553573;52.62977212162341 9.835431780133929;52.49877412440413 
392af5,1,5,9.203453063964844;47.50286865234375 9.344224196213942;47.46023921643273 9.506607055664062;47.41081237792969 9.6661376953125;47.36178123344809 9.824111938476562;47.31298828125 
400f00,1,2,10.796333312988281;46.32929915088718 10.833412170410156;46.20304948192532 
3c492e,1,6,6.298255920410156;46.46425408832097 6.2815704345703125;46.59487966763771 6.2747039794921875;46.65567689022775 6.216339111328125;46.76004700741525 6.1324310302734375;46.85701531878972 6.085533142089844;46.96568298339844 
484556,1,5,5.490120552681588;49.77579407772775 5.39912976716694;49.88616943359375 5.306468762849506;49.99855041503906 5.211156896642737;50.11180813029661 5.116362700591217;50.22437144134004 
3445d4,2,5,-4.45648193359375;39.746952380164196 -4.42694091796875;39.802442647643005 -4.348338734019887;39.950152898238876 -4.321185025301847;40.04553843352754 
342188,3,6,-1.989013671875;40.53382873535156 -2.042083740234375;40.518509169756356 -2.134843306107939;40.491695080773304 -2.228227095170439;40.46464823060116 
406754,1,5,10.404926646839488;42.72450256347656 10.52490234375;42.64256286621094 10.652394849200583;42.55507646980932 10.767475474964488;42.47584533691406 10.889750635901164;42.39144535387977 
4007f3,1,5,5.3128814697265625;52.70137023925781 5.164947509765625;52.64982604980469 4.937883649553572;52.56999904826536 4.8032379150390625;52.5223388671875 4.613002232142858;52.4545029462394 
394c18,1,5,4.193115234375;48.07687015856727 4.086209810697115;48.168731689453125 3.985941033614309;48.25446694584216 3.8799344576322112;48.34446716308594 3.7714185212787825;48.43634653899629 
406668,1,6,9.400520324707031;47.14192199707031 9.224642240084133;47.17636367021981 9.040409968449518;47.21197613215042 8.85882568359375;47.2467041015625 8.675148010253906;47.281585693359375 8.490921020507812;47.31614685058594 
4008e5,1,6,5.7603571965144225;48.11834820246292 5.593449519230769;48.17381286621094 5.421893780048077;48.230438232421875 5.249915489783653;48.286834716796875 5.081388033353365;48.341583251953125 4.9068744365985575;48.39802551269531 
3848da,1,5,6.845543601296165;42.056488037109375 6.707964810458097;42.115814208984375 6.56669439271439;42.17632746292373 6.424754749644886;42.237213134765625 6.282182173295454;42.29754638671875 
0a004a,1,6,4.886431012834821;45.299652099609375 4.899165455887958;45.42302018505032 4.912496427210367;45.55183410644531 4.926296327172256;45.681427001953125 4.939895257717226;45.81005859375 4.952842712402344;45.93458272643008 
4caa5b,1,6,-2.38739013671875;52.996856689453125 -2.2100830078125;52.95213317871094 -2.0282745361328125;52.90594482421875 -1.84661865234375;52.859619140625 -1.663360595703125;52.81196594238281 -1.485273088727638;52.76565810381356 
4ca2c3,3,3,9.099491664341517;43.91868461996822 
3991e7,1,6,5.206533578725961;49.35040283203125 5.377173790564903;49.3868408203125 5.55590177837171;49.42492986129502 5.735007838199013;49.46356201171875 5.910789088199013;49.502471923828125 6.0906570022170605;49.54196218716896 
405ee1,5,6,5.846649169921875;46.32901983746027 5.8250315596417686;46.28997802734375 
3c6666,1,6,7.511283874511719;47.47590637207031 7.423377403846153;47.36820544226695 7.333168029785156;47.25691223144531 7.2169189453125;47.15867614746094 7.073505108173077;47.0738090903072 6.9320209209735575;46.98959609209481 
3c6633,1,6,9.46638408460115;49.629180908203125 9.3988037109375;49.7376708984375 9.332379792865954;49.8446044921875 9.26422119140625;49.95329776052701 9.195556640625;50.06282043457031 9.126530697471216;50.1719970703125 
4008f2,1,6,4.324669471153846;47.830934686175844 4.286780724158653;47.860867775092686 4.1587371826171875;47.9622802734375 4.0134429931640625;48.07667541503906 3.9025409405048075;48.16351318359375 3.783199912623355;48.26819985599841 
4ba8fa,1,3,11.69913844058388;49.79534912109375 11.847641403610641;49.777888928429554 12.06714527027027;49.75181967525159 
8963c3,1,2,8.428814862225506;50.00227071471133 8.492287083675986;50.017547607421875 
